"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42133","should show selected Headlines, UI and Testing topics in Interests","Now in Android","2026-06-08","passed","2026-06-08","","","",""
"","12869","should open Camera & Media topic page from Interests","Now in Android","2026-06-08","passed","2026-06-08","","","",""
"","10628","should show article after selecting UI topic","Now in Android","2026-06-08","passed","2026-06-08","","","",""
"","17444","should follow UI topic from search and show it selected on For You page","Now in Android","2026-06-08","passed","2026-06-08","","","",""
"","28650","should save two Compose articles and show them in Saved","Now in Android","2026-06-08","passed","2026-06-08","","","",""
